Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-07-01 00:00:00,0,333,333
2023-07-01 00:05:00,0,326,326
2023-07-01 00:10:00,0,315,315
2023-07-01 00:15:00,0,311,311
2023-07-01 00:20:00,0,313,313
2023-07-01 00:25:00,0,309,309
2023-07-01 00:30:00,0,248,248
2023-07-01 00:35:00,0,243,243
2023-07-01 00:40:00,0,312,312
2023-07-01 00:45:00,0,301,301
2023-07-01 00:50:00,0,319,319
2023-07-01 00:55:00,0,345,345
2023-07-01 01:00:00,0,354,354
2023-07-01 01:05:00,0,345,345
2023-07-01 01:10:00,0,363,363
2023-07-01 01:15:00,0,355,355
2023-07-01 01:20:00,0,357,357
2023-07-01 01:25:00,0,345,345
2023-07-01 01:30:00,0,367,367
2023-07-01 01:35:00,0,281,281
2023-07-01 01:40:00,0,291,291
2023-07-01 01:45:00,0,331,331
2023-07-01 01:50:00,0,357,357
2023-07-01 01:55:00,0,341,341
2023-07-01 02:00:00,0,353,353
2023-07-01 02:05:00,0,351,351
2023-07-01 02:10:00,0,352,352
2023-07-01 02:15:00,0,341,341
2023-07-01 02:20:00,0,357,357
2023-07-01 02:25:00,0,340,340
2023-07-01 02:30:00,0,289,289
2023-07-01 02:35:00,0,285,285
2023-07-01 02:40:00,0,292,292
2023-07-01 02:45:00,0,336,336
2023-07-01 02:50:00,0,353,353
2023-07-01 02:55:00,0,340,340
2023-07-01 03:00:00,0,354,354
2023-07-01 03:05:00,0,340,340
2023-07-01 03:10:00,0,571,571
2023-07-01 03:15:00,0,386,386
2023-07-01 03:20:00,0,346,346
2023-07-01 03:25:00,0,281,281
2023-07-01 03:30:00,0,288,288
2023-07-01 03:35:00,0,295,295
2023-07-01 03:40:00,0,357,357
2023-07-01 03:45:00,0,343,343
2023-07-01 03:50:00,0,356,356
2023-07-01 03:55:00,0,346,346
2023-07-01 04:00:00,0,356,356
2023-07-01 04:05:00,0,341,341
2023-07-01 04:10:00,0,296,296
2023-07-01 04:15:00,0,292,292
2023-07-01 04:20:00,0,362,362
2023-07-01 04:25:00,0,346,346
2023-07-01 04:30:00,0,355,355
2023-07-01 04:35:00,0,343,343
2023-07-01 04:40:00,0,354,354
2023-07-01 04:45:00,0,340,340
2023-07-01 04:50:00,0,351,351
2023-07-01 04:55:00,0,278,278
2023-07-01 05:00:00,0,625,625
2023-07-01 05:05:00,0,610,610
2023-07-01 05:10:00,0,622,622
2023-07-01 05:15:00,0,289,289
2023-07-01 05:20:00,0,298,298
2023-07-01 05:25:00,0,373,373
2023-07-01 05:30:00,0,382,382
2023-07-01 05:35:00,0,367,367
2023-07-01 05:40:00,0,376,376
2023-07-01 05:45:00,0,361,361
2023-07-01 05:50:00,0,367,367
2023-07-01 05:55:00,0,353,353
2023-07-01 06:00:00,0,299,299
2023-07-01 06:05:00,0,287,287
2023-07-01 06:10:00,0,1405,1405
2023-07-01 06:15:00,0,606,606
2023-07-01 06:20:00,0,588,588
2023-07-01 06:25:00,44,545,589
2023-07-01 06:30:00,43,650,693
2023-07-01 06:35:00,57,556,613
2023-07-01 06:40:00,70,452,522
2023-07-01 06:45:00,111,382,493
2023-07-01 06:50:00,183,259,442
2023-07-01 06:55:00,206,84,290
2023-07-01 07:00:00,237,89,326
2023-07-01 07:05:00,276,80,356
2023-07-01 07:10:00,310,46,356
2023-07-01 07:15:00,316,48,364
2023-07-01 07:20:00,332,27,359
2023-07-01 07:25:00,361,7,368
2023-07-01 07:30:00,489,-199,290
2023-07-01 07:35:00,522,1511,2033
2023-07-01 07:40:00,672,1567,2239
2023-07-01 07:45:00,810,1563,2373
2023-07-01 07:50:00,965,1443,2408
2023-07-01 07:55:00,1100,1353,2453
2023-07-01 08:00:00,1202,1301,2503
2023-07-01 08:05:00,1276,1256,2532
2023-07-01 08:10:00,1414,1087,2501
2023-07-01 08:15:00,2029,481,2510
2023-07-01 08:20:00,1455,4950,6405
2023-07-01 08:25:00,1475,4069,5544
2023-07-01 08:30:00,1490,3815,5305
2023-07-01 08:35:00,1694,3654,5348
2023-07-01 08:40:00,1798,3762,5560
2023-07-01 08:45:00,1888,3672,5560
2023-07-01 08:50:00,1946,3644,5590
2023-07-01 08:55:00,2069,1300,3369
2023-07-01 09:00:00,2123,1170,3293
2023-07-01 09:05:00,2190,1128,3318
2023-07-01 09:10:00,2315,1030,3345
2023-07-01 09:15:00,2423,951,3374
2023-07-01 09:20:00,2544,-1961,583
2023-07-01 09:25:00,2751,-1994,757
2023-07-01 09:30:00,2861,-2362,499
2023-07-01 09:35:00,3052,-2495,557
2023-07-01 09:40:00,3129,-2573,556
2023-07-01 09:45:00,3298,-2726,572
2023-07-01 09:50:00,3409,-2851,558
2023-07-01 09:55:00,4073,-3300,773
2023-07-01 10:00:00,5031,-4471,560
2023-07-01 10:05:00,4896,-4352,544
2023-07-01 10:10:00,4914,-4148,766
2023-07-01 10:15:00,5013,-4454,559
2023-07-01 10:20:00,5438,-4692,746
2023-07-01 10:25:00,6443,-5782,661
2023-07-01 10:30:00,4832,-4475,357
2023-07-01 10:35:00,5494,-5188,306
2023-07-01 10:40:00,10879,-10546,333
2023-07-01 10:45:00,10046,-9674,372
2023-07-01 10:50:00,8931,-8326,605
2023-07-01 10:55:00,7401,-6735,666
2023-07-01 11:00:00,5108,-4710,398
2023-07-01 11:05:00,10094,-9706,388
2023-07-01 11:10:00,10791,-10447,344
2023-07-01 11:15:00,6526,-6324,202
2023-07-01 11:20:00,10625,-10875,-250
2023-07-01 11:25:00,7095,-6714,381
2023-07-01 11:30:00,5745,-5349,396
2023-07-01 11:35:00,6358,-5746,612
2023-07-01 11:40:00,5710,-5336,374
2023-07-01 11:45:00,5109,-4572,537
2023-07-01 11:50:00,5240,-4561,679
2023-07-01 11:55:00,3729,-2721,1008
2023-07-01 12:00:00,3476,-2350,1126
2023-07-01 12:05:00,2981,-1860,1121
2023-07-01 12:10:00,8104,-7017,1087
2023-07-01 12:15:00,10998,-9934,1064
2023-07-01 12:20:00,10168,-7085,3083
2023-07-01 12:25:00,9986,-6590,3396
2023-07-01 12:30:00,9863,-5833,4030
2023-07-01 12:35:00,9874,-5735,4139
2023-07-01 12:40:00,9853,-5724,4129
2023-07-01 12:45:00,9679,-7587,2092
2023-07-01 12:50:00,9479,-6937,2542
2023-07-01 12:55:00,9670,-8590,1080
2023-07-01 13:00:00,9681,-8561,1120
2023-07-01 13:05:00,9555,-8447,1108
2023-07-01 13:10:00,9493,-8174,1319
2023-07-01 13:15:00,9550,-8506,1044
2023-07-01 13:20:00,9618,-8342,1276
2023-07-01 13:25:00,9585,-8471,1114
2023-07-01 13:30:00,9711,-8620,1091
2023-07-01 13:35:00,9730,-8686,1044
2023-07-01 13:40:00,9529,-8601,928
2023-07-01 13:45:00,9585,-8408,1177
2023-07-01 13:50:00,9458,-6947,2511
2023-07-01 13:55:00,9723,-7244,2479
2023-07-01 14:00:00,9502,-8972,530
2023-07-01 14:05:00,9531,-7417,2114
2023-07-01 14:10:00,9657,-7474,2183
2023-07-01 14:15:00,9598,-8918,680
2023-07-01 14:20:00,9700,-9288,412
2023-07-01 14:25:00,9759,-9487,272
2023-07-01 14:30:00,9717,-9392,325
2023-07-01 14:35:00,9456,-9026,430
2023-07-01 14:40:00,9303,-6836,2467
2023-07-01 14:45:00,9303,-6855,2448
2023-07-01 14:50:00,9141,-6416,2725
2023-07-01 14:55:00,9074,-8327,747
2023-07-01 15:00:00,9040,-8540,500
2023-07-01 15:05:00,9086,-8624,462
2023-07-01 15:10:00,9118,-8908,210
2023-07-01 15:15:00,9538,-9308,230
2023-07-01 15:20:00,10064,-9713,351
2023-07-01 15:25:00,2676,-2314,362
2023-07-01 15:30:00,7741,-7355,386
2023-07-01 15:35:00,3849,-1350,2499
2023-07-01 15:40:00,5622,-5258,364
2023-07-01 15:45:00,3842,-3253,589
2023-07-01 15:50:00,3272,-2738,534
2023-07-01 15:55:00,4405,-3814,591
2023-07-01 16:00:00,10519,-9797,722
2023-07-01 16:05:00,7728,-7333,395
2023-07-01 16:10:00,2836,-2204,632
2023-07-01 16:15:00,3137,-2598,539
2023-07-01 16:20:00,5701,-5239,462
2023-07-01 16:25:00,3509,-2993,516
2023-07-01 16:30:00,3941,-3193,748
2023-07-01 16:35:00,3683,-679,3004
2023-07-01 16:40:00,2920,-2367,553
2023-07-01 16:45:00,3014,-2434,580
2023-07-01 16:50:00,3620,-3102,518
2023-07-01 16:55:00,3456,-2918,538
2023-07-01 17:00:00,2778,-2213,565
2023-07-01 17:05:00,2050,-1402,648
2023-07-01 17:10:00,2038,-1518,520
2023-07-01 17:15:00,2190,-1717,473
2023-07-01 17:20:00,2012,-1385,627
2023-07-01 17:25:00,1863,-1329,534
2023-07-01 17:30:00,1843,1096,2939
2023-07-01 17:35:00,1667,1795,3462
2023-07-01 17:40:00,1989,7419,9408
2023-07-01 17:45:00,1921,1415,3336
2023-07-01 17:50:00,1641,5071,6712
2023-07-01 17:55:00,1639,5073,6712
2023-07-01 18:00:00,1547,-902,645
2023-07-01 18:05:00,1513,-855,658
2023-07-01 18:10:00,1817,-1124,693
2023-07-01 18:15:00,1570,-519,1051
2023-07-01 18:20:00,1265,-181,1084
2023-07-01 18:25:00,1125,-483,642
2023-07-01 18:30:00,1040,0,1040
2023-07-01 18:35:00,1165,-127,1038
2023-07-01 18:40:00,1347,-266,1081
2023-07-01 18:45:00,1427,-449,978
2023-07-01 18:50:00,1222,16,1238
2023-07-01 18:55:00,1055,0,1055
2023-07-01 19:00:00,1113,2327,3440
2023-07-01 19:05:00,903,3131,4034
2023-07-01 19:10:00,838,3217,4055
2023-07-01 19:15:00,766,522,1288
2023-07-01 19:20:00,702,737,1439
2023-07-01 19:25:00,625,659,1284
2023-07-01 19:30:00,952,364,1316
2023-07-01 19:35:00,682,794,1476
2023-07-01 19:40:00,691,908,1599
2023-07-01 19:45:00,754,658,1412
2023-07-01 19:50:00,709,675,1384
2023-07-01 19:55:00,440,434,874
2023-07-01 20:00:00,312,651,963
2023-07-01 20:05:00,414,423,837
2023-07-01 20:10:00,274,551,825
2023-07-01 20:15:00,197,640,837
2023-07-01 20:20:00,125,703,828
2023-07-01 20:25:00,97,867,964
2023-07-01 20:30:00,62,1407,1469
2023-07-01 20:35:00,56,1460,1516
2023-07-01 20:40:00,44,1584,1628
2023-07-01 20:45:00,43,1628,1671
2023-07-01 20:50:00,41,1799,1840
2023-07-01 20:55:00,26,1609,1635
2023-07-01 21:00:00,9,1752,1761
2023-07-01 21:05:00,12,1694,1706
2023-07-01 21:10:00,3,1783,1786
2023-07-01 21:15:00,0,1555,1555
2023-07-01 21:20:00,0,1532,1532
2023-07-01 21:25:00,0,954,954
2023-07-01 21:30:00,0,1347,1347
2023-07-01 21:35:00,0,1379,1379
2023-07-01 21:40:00,0,3415,3415
2023-07-01 21:45:00,0,8038,8038
2023-07-01 21:50:00,0,7566,7566
2023-07-01 21:55:00,0,5001,5001
2023-07-01 22:00:00,0,4987,4987
2023-07-01 22:05:00,0,5185,5185
2023-07-01 22:10:00,0,4978,4978
2023-07-01 22:15:00,0,4698,4698
2023-07-01 22:20:00,0,4699,4699
2023-07-01 22:25:00,0,4720,4720
2023-07-01 22:30:00,0,4708,4708
2023-07-01 22:35:00,0,4916,4916
2023-07-01 22:40:00,0,4906,4906
2023-07-01 22:45:00,0,529,529
2023-07-01 22:50:00,0,756,756
2023-07-01 22:55:00,0,628,628
2023-07-01 23:00:00,0,621,621
2023-07-01 23:05:00,0,623,623
2023-07-01 23:10:00,0,350,350
2023-07-01 23:15:00,0,341,341
2023-07-01 23:20:00,0,2048,2048
2023-07-01 23:25:00,0,2055,2055
2023-07-01 23:30:00,0,2118,2118
2023-07-01 23:35:00,0,2172,2172
2023-07-01 23:40:00,0,2221,2221
2023-07-01 23:45:00,0,2267,2267
2023-07-01 23:50:00,0,2311,2311
2023-07-01 23:55:00,0,2363,2363
